제작사,차명,생산시작,생산종료,리콜사유,대수,제조사,리콜일
비엠더블유코리아,325Xi,2003-01-10,2004-02-25,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. ",106,BMW,2015-01-30
비엠더블유코리아,328i,2000-04-08,2000-04-08,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. ",1,BMW,2015-01-30
비엠더블유코리아,330i,2000-06-08,2004-02-20,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. ",211,BMW,2015-01-30
비엠더블유코리아,330Ci,2000-09-29,2004-01-23,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. ",43,BMW,2015-01-30
비엠더블유코리아,330Xi,2003-04-29,2003-04-29,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. ",1,BMW,2015-01-30
비엠더블유코리아,M3,2001-03-05,2005-07-27,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. ",122,BMW,2015-01-30
비엠더블유코리아,328i(3A63),2012-06-20,2012-06-22,엔진 흡기 캠샤프트 내 오일공급회로 제작 결함으로 브레이크 페달이 딱딱해질 수 있음,1,BMW,2015-01-30
비엠더블유코리아,320i,2012-06-06,2013-06-06,엔진 흡기 캠샤프트 내 오일공급회로 제작 결함으로 브레이크 페달이 딱딱해질 수 있음,62,BMW,2015-01-30
비엠더블유코리아,328i(3C21),2012-06-15,2012-10-16,엔진 흡기 캠샤프트 내 오일공급회로 제작 결함으로 브레이크 페달이 딱딱해질 수 있음,20,BMW,2015-01-30
비엠더블유코리아,528i,2012-06-21,2013-02-28,엔진 흡기 캠샤프트 내 오일공급회로 제작 결함으로 브레이크 페달이 딱딱해질 수 있음,181,BMW,2015-01-30
비엠더블유코리아,528i Xdrive,2012-06-20,2013-02-14,엔진 흡기 캠샤프트 내 오일공급회로 제작 결함으로 브레이크 페달이 딱딱해질 수 있음,44,BMW,2015-01-30
비엠더블유코리아,Z4 28i,2012-07-27,2012-09-17,엔진 흡기 캠샤프트 내 오일공급회로 제작 결함으로 브레이크 페달이 딱딱해질 수 있음,2,BMW,2015-01-30
비엠더블유코리아,MINI Cooper,2014-03-04,2014-09-16,스페어 타이어를 고정해 주는 덮개 너트의 결함으로 인하여 타이어가 차량으로부터 이탈될 가능성 발견,499,BMW,2015-03-20
비엠더블유코리아,MINI Cooper D,2014-01-13,2014-09-13,스페어 타이어를 고정해 주는 덮개 너트의 결함으로 인하여 타이어가 차량으로부터 이탈될 가능성 발견,453,BMW,2015-03-20
비엠더블유코리아,MINI Cooper,2014-08-12,2014-09-10,시트 등받이 조정장치 안의 기어 체결 불량,83,BMW,2015-03-20
비엠더블유코리아,MINI Cooper D,2014-08-12,2014-09-29,시트 등받이 조정장치 안의 기어 체결 불량,201,BMW,2015-03-20
비엠더블유코리아,MINI Cooper S,2014-08-21,2014-09-03,시트 등받이 조정장치 안의 기어 체결 불량,18,BMW,2015-03-20
비엠더블유코리아,320i Sedan,2014-09-27,2014-09-27,조수석 시트벨트가 당겨지지 않을 가능성은 적으나 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견,1,BMW,2015-03-20
비엠더블유코리아,320d Sedan,2014-09-23,2014-10-20,조수석 시트벨트가 당겨지지 않을 가능성은 적으나 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견,9,BMW,2015-03-20
비엠더블유코리아,320d Xdrive sedan,2014-09-22,2014-09-30,조수석 시트벨트가 당겨지지 않을 가능성은 적으나 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견,42,BMW,2015-03-20
비엠더블유코리아,320d Sedan Efficient Dynamics E,2014-09-22,2014-09-27,조수석 시트벨트가 당겨지지 않을 가능성은 적으나 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견,100,BMW,2015-03-20
비엠더블유코리아,320d Gran Turismo,2014-09-11,2014-09-22,조수석 시트벨트가 당겨지지 않을 가능성은 적으나 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견,52,BMW,2015-03-20
비엠더블유코리아,320d Xdrive Gran Turismo,2014-09-15,2014-10-06,조수석 시트벨트가 당겨지지 않을 가능성은 적으나 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견,52,BMW,2015-03-20
비엠더블유코리아,420d Gran Coupe,2014-09-24,2014-10-13,조수석 시트벨트가 당겨지지 않을 가능성은 적으나 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견,14,BMW,2015-03-20
비엠더블유코리아,420d Xdrive Gran Coupe,2014-09-24,2014-10-18,조수석 시트벨트가 당겨지지 않을 가능성은 적으나 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견,6,BMW,2015-03-20
비엠더블유코리아,535i,2013-01-30,2013-06-29,후부반사기 반사성능 안전기준 위반,14,BMW,2015-05-29
비엠더블유코리아,535i xDrive,2013-01-30,2013-06-29,후부반사기 반사성능 안전기준 위반,30,BMW,2015-05-29
비엠더블유코리아,528i,2013-01-30,2013-06-29,후부반사기 반사성능 안전기준 위반,488,BMW,2015-05-29
비엠더블유코리아,528i xDrive,2013-01-30,2013-06-29,후부반사기 반사성능 안전기준 위반,679,BMW,2015-05-29
비엠더블유코리아,520d,2013-01-30,2013-06-29,후부반사기 반사성능 안전기준 위반,1986,BMW,2015-05-29
비엠더블유코리아,525d xDrive,2013-01-30,2013-06-29,후부반사기 반사성능 안전기준 위반,149,BMW,2015-05-29
비엠더블유코리아,525d,2013-01-30,2013-06-29,후부반사기 반사성능 안전기준 위반,54,BMW,2015-05-29
비엠더블유코리아,320i Sedan,2013-09-18,2014-03-06,저압 연료펌프 내 코팅 불량으로 인하여 모터 회전 시 마찰력 증가로 연료펌프 작동이 원활하게 되지 않아 시동 불가 및 시동이 꺼질 가능성,91,BMW,2015-07-31
비엠더블유코리아,328i Sedan,2013-12-02,2013-12-07,저압 연료펌프 내 코팅 불량으로 인하여 모터 회전 시 마찰력 증가로 연료펌프 작동이 원활하게 되지 않아 시동 불가 및 시동이 꺼질 가능성,3,BMW,2015-07-31
비엠더블유코리아,420i Coupe,2013-11-26,2014-03-03,저압 연료펌프 내 코팅 불량으로 인하여 모터 회전 시 마찰력 증가로 연료펌프 작동이 원활하게 되지 않아 시동 불가 및 시동이 꺼질 가능성,16,BMW,2015-07-31
비엠더블유코리아,428i Coupe,2013-09-13,2013-12-19,저압 연료펌프 내 코팅 불량으로 인하여 모터 회전 시 마찰력 증가로 연료펌프 작동이 원활하게 되지 않아 시동 불가 및 시동이 꺼질 가능성,26,BMW,2015-07-31
비엠더블유코리아,428i Convertible,2013-11-26,2013-12-16,저압 연료펌프 내 코팅 불량으로 인하여 모터 회전 시 마찰력 증가로 연료펌프 작동이 원활하게 되지 않아 시동 불가 및 시동이 꺼질 가능성,83,BMW,2015-07-31
비엠더블유코리아,320i,2014-12-10,2014-12-11,조수석 시트벨트가 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견,3,BMW,2015-07-31
비엠더블유코리아,320d,2014-12-08,2014-12-12,조수석 시트벨트가 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견,155,BMW,2015-07-31
비엠더블유코리아,320d xDdrive,2014-12-09,2014-12-11,조수석 시트벨트가 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견,35,BMW,2015-07-31
비엠더블유코리아,320d EDE,2014-12-08,2014-12-12,조수석 시트벨트가 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견,32,BMW,2015-07-31
비엠더블유코리아,118d,2012-06-11,2013-06-29,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,1545,BMW,2015-09-24
비엠더블유코리아,120d,2008-03-04,2013-06-27,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,1313,BMW,2015-09-24
비엠더블유코리아,320d,2008-04-24,2013-06-28,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,12638,BMW,2015-09-24
비엠더블유코리아,320d GT,2013-02-26,2013-06-29,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,304,BMW,2015-09-24
비엠더블유코리아,320d Touring,12/16/18,2013-06-28,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,476,BMW,2015-09-24
비엠더블유코리아,420 Coupe,2013-06-27,2013-06-28,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,52,BMW,2015-09-24
비엠더블유코리아,520d,2008-04-15,2013-06-20,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,23739,BMW,2015-09-24
비엠더블유코리아,520d GT,2012-06-21,2013-06-26,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,1321,BMW,2015-09-24
비엠더블유코리아,520d Touring,2011-11-23,2013-06-20,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,242,BMW,2015-09-24
비엠더블유코리아,X1 18d,2009-12-22,2013-06-28,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,2730,BMW,2015-09-24
비엠더블유코리아,X3 20d,2007-11-13,2013-06-28,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,4486,BMW,2015-09-24
비엠더블유코리아,MINI Cooper D,2011-11-07,2013-06-26,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,2674,BMW,2015-09-24
비엠더블유코리아,MINI Cooper D Clubman,2012-06-14,2013-05-31,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,77,BMW,2015-09-24
비엠더블유코리아,MINI Cooper D Countryman,2012-03-01,2013-06-29,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,2411,BMW,2015-09-24
비엠더블유코리아,MINI Cooper D Countryman ALL4,2012-02-09,2013-06-29,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,316,BMW,2015-09-24
비엠더블유코리아,MINI Cooper D Paceman,2012-11-21,2013-06-27,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,232,BMW,2015-09-24
비엠더블유코리아,MINI Cooper D Paceman ALL4,2012-11-22,2013-06-28,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,43,BMW,2015-09-24
비엠더블유코리아,MINI Cooper SD,2011-11-05,2013-06-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,522,BMW,2015-09-24
비엠더블유코리아,MINI Cooper SD Clubman,2012-06-19,2013-05-08,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,49,BMW,2015-09-24
비엠더블유코리아,MINI Cooper SD Countryman,2012-02-29,2013-06-29,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,277,BMW,2015-09-24
비엠더블유코리아,MINI Cooper SD Countryman ALL4,2012-02-09,2013-06-26,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,122,BMW,2015-09-24
비엠더블유코리아,MINI Cooper SD Coupe,2012-06-19,2012-11-29,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,51,BMW,2015-09-24
비엠더블유코리아,MINI Cooper SD Paceman,2012-11-20,2013-06-25,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,61,BMW,2015-09-24
비엠더블유코리아,MINI Cooper SD Paceman ALL4,2012-10-29,2013-06-28,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성,31,BMW,2015-09-24
비엠더블유코리아,Active Tourer,2014-10-30,2014-12-04,조수석 좌석안전띠를 구성하는 내부 부품의 제작불량으로 외부온도가 0도 이하일 때 좌석안전띠가 완전히 당겨지지 않아 착용이 어려울 수 있는 가능성,25,BMW,2015-09-24
비엠더블유코리아,Active Tourer,2015-04-21,2015-08-03,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성,83,BMW,2015-12-23
비엠더블유코리아,i3,2014-10-27,2015-05-05,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성,19,BMW,2015-12-23
비엠더블유코리아,MINI Cooper Clubman,2015-08-13,2015-08-19,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성,4,BMW,2015-12-23
비엠더블유코리아,MINI Cooper,2015-04-07,2015-08-25,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성,53,BMW,2015-12-23
비엠더블유코리아,MINI Cooper 5 door,2015-04-07,2015-08-11,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성,65,BMW,2015-12-23
비엠더블유코리아,MINI Cooper D Clubman,2015-07-30,2015-07-30,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성,1,BMW,2015-12-23
비엠더블유코리아,MINI Cooper D,2015-07-08,2015-08-27,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성,41,BMW,2015-12-23
비엠더블유코리아,MINI Cooper D 5door,2015-04-09,2015-08-17,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성,95,BMW,2015-12-23
비엠더블유코리아,MINI Cooper S Clubman,2015-07-17,2015-08-19,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성,9,BMW,2015-12-23
비엠더블유코리아,MINI Cooper S,2015-07-08,2015-07-31,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성,11,BMW,2015-12-23
비엠더블유코리아,MINI Cooper S 5 door,2014-07-20,2015-08-06,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성,37,BMW,2015-12-23
비엠더블유코리아,MINI Cooper SD,2014-07-02,2015-07-15,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성,3,BMW,2015-12-23
비엠더블유코리아,MINI John Cooper Works,2015-04-21,2015-07-23,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성,11,BMW,2015-12-23
비엠더블유코리아,롤스로이스 팬텀 2,2015-07-09,2015-09-15,사이드 커튼 에어백의 조립불량으로 에어백 작동시 에어백 미전개 가능성,3,BMW,2015-12-23
선롱버스코리아,두에고,2013-01-22,2014-12-30,"제원허용차, 방향지시등 색도, 최고속도제한장치, 조수석안전띠, 최후단열 좌석안전띠",550,기타,2015-07-10
아우디폭스바겐코리아,파사트1.8TSI,2014-04-30,2014-10-21,연료레일 제작 과정 중 연료 분배 레일의 엔드 캡 부분에 불충분한 용접으로 용접된 부위에서 연료 누출 가능성 발견,448,아우디,2015-03-20
아우디폭스바겐코리아,S4 3.0 TFSI,2011-12-05,2011-12-13,연료분사장치에 장착된 연료 레일 연료 누설 가능성,10,아우디,2015-04-03
아우디폭스바겐코리아,A6 3.0 TFSI,2011-04-08,2012-02-06,연료분사장치에 장착된 연료 레일 연료 누설 가능성,1482,아우디,2015-04-03
아우디폭스바겐코리아,A7 3.0 TFSI,2011-04-27,2012-02-02,연료분사장치에 장착된 연료 레일 연료 누설 가능성,531,아우디,2015-04-03
아우디폭스바겐코리아,A8 3.0 TFSI,2011-04-20,2012-01-31,연료분사장치에 장착된 연료 레일 연료 누설 가능성,175,아우디,2015-04-03
아우디폭스바겐코리아,티구안 2.0 TDI,2014-10-03,2014-12-03,타이어 공기 압력 경고등 관련 오류 코딩으로 계기판에 있는 타이어 공기 압력 경고등이 점등되지 않을 수 가능성,490,아우디,2015-04-24
아우디폭스바겐코리아,Continental Flying Spur,2011-04-20,2012-09-28,배터리 케이블 연결부의 접촉 불량으로 인해 재시동 불가 또는 과열로 인한 화재 발생 가능성,53,아우디,2015-12-01
아우디폭스바겐코리아,Flying Spur,2013-06-14,2014-05-07,배터리 케이블 연결부의 접촉 불량으로 인해 재시동 불가 또는 과열로 인한 화재 발생 가능성,163,아우디,2015-12-01
아우디폭스바겐코리아,Continental Flying Spur Speed,2011-05-04,2012-09-26,배터리 케이블 연결부의 접촉 불량으로 인해 재시동 불가 또는 과열로 인한 화재 발생 가능성,39,아우디,2015-12-01
아우디폭스바겐코리아,Continental Supersports Convertible,2011-06-16,2011-11-26,배터리 케이블 연결부의 접촉 불량으로 인해 재시동 불가 또는 과열로 인한 화재 발생 가능성,3,아우디,2015-12-01
아우디폭스바겐코리아,New Continental GT,2011-04-07,2014-01-24,배터리 케이블 연결부의 접촉 불량으로 인해 재시동 불가 또는 과열로 인한 화재 발생 가능성,67,아우디,2015-12-01
아우디폭스바겐코리아,New Continental GT Speed,2012-12-12,2014-04-30,배터리 케이블 연결부의 접촉 불량으로 인해 재시동 불가 또는 과열로 인한 화재 발생 가능성,47,아우디,2015-12-01
아우디폭스바겐코리아,New Continental GT V8,2012-05-12,2014-02-17,배터리 케이블 연결부의 접촉 불량으로 인해 재시동 불가 또는 과열로 인한 화재 발생 가능성,131,아우디,2015-12-01
아우디폭스바겐코리아,New Continental GTC,2012-02-06,2014-04-07,배터리 케이블 연결부의 접촉 불량으로 인해 재시동 불가 또는 과열로 인한 화재 발생 가능성,12,아우디,2015-12-01
아우디폭스바겐코리아,New Continental GTC Speed,2013-07-16,2013-07-22,배터리 케이블 연결부의 접촉 불량으로 인해 재시동 불가 또는 과열로 인한 화재 발생 가능성,2,아우디,2015-12-01
아우디폭스바겐코리아,New Continental GTC V8,2012-06-25,2014-04-15,배터리 케이블 연결부의 접촉 불량으로 인해 재시동 불가 또는 과열로 인한 화재 발생 가능성,11,아우디,2015-12-01
아우디폭스바겐코리아,EOS,2010,2010,클럭스프링의 결함으로 경적(Horn)이 작동되지 않거나 에어백 경고등이 점등될 가능성,27,아우디,2015-12-23
아우디폭스바겐코리아,GOLF,2010,2010,클럭스프링의 결함으로 경적(Horn)이 작동되지 않거나 에어백 경고등이 점등될 가능성,2,아우디,2015-12-23
아우디폭스바겐코리아,Jetta,2011,2014,클럭스프링의 결함으로 경적(Horn)이 작동되지 않거나 에어백 경고등이 점등될 가능성,5156,아우디,2015-12-23
아우디폭스바겐코리아,CC,2010,2014,클럭스프링의 결함으로 경적(Horn)이 작동되지 않거나 에어백 경고등이 점등될 가능성,7301,아우디,2015-12-23
아우디폭스바겐코리아,Passat US,2012,2014,클럭스프링의 결함으로 경적(Horn)이 작동되지 않거나 에어백 경고등이 점등될 가능성,5117,아우디,2015-12-23
아우디폭스바겐코리아,Passat EUR,2010,2011,클럭스프링의 결함으로 경적(Horn)이 작동되지 않거나 에어백 경고등이 점등될 가능성,2660,아우디,2015-12-23
아우디폭스바겐코리아,Scirocco,2012,2013,클럭스프링의 결함으로 경적(Horn)이 작동되지 않거나 에어백 경고등이 점등될 가능성,620,아우디,2015-12-23
아우디폭스바겐코리아,Tiguan,2011,2014,클럭스프링의 결함으로 경적(Horn)이 작동되지 않거나 에어백 경고등이 점등될 가능성,6928,아우디,2015-12-23
"에프씨에이코리아(구, 크라이슬러코리아)",그랜드보이저,2011-02-14,2013-08-09,"운전석 도어에 위치한 3열 환기 유리 스위치가 수분에 노출되면 과열이 발생될 수 있으며, 과열된 스위치는 연기 발생 및 타는 냄새의 원인 될수 있으며 심한경우 화재 발생",90,크라이슬러,2015-01-21
"에프씨에이코리아(구, 크라이슬러코리아)","짚체로키, KL",2014-04-06,2014-11-15,에어백 관련 소프트웨어 오류로 인해 옆면 및 전면 에어백이 특정운행 조건에서 서전인지 없이 전개가능성 발견,611,크라이슬러,2015-03-31
"에프씨에이코리아(구, 크라이슬러코리아)","짚랭글러, JK",2010-10-26,2013-07-10,"수분이 사이드 미러 열선 배선을 따라 흘러 들어가 열선 커넥터 안쪽으로 유입 될수 있고 이 수분침투로 인해 열선 커넥터 내 전원, 접지 배선 연결 부위에 부식이 발생될수 있어 작동 불량 및 화재 위험성 발견",3025,크라이슬러,2015-03-31
"에프씨에이코리아(구, 크라이슬러코리아)","짚그랜드체로키, WK",2013-03-27,2014-01-13,"에어백 모듈 회로기판에 뿌려진 습기(수분) 유입을 막는 코팅이 회로기판의 일부분에서 두껍게 뿌려지고 또한 완벽하게 건조가 되지 않아, 코팅이 갈라지고 이로인해 갈라진 부분으로 수분이 침투되어 에어백 경고등 점등 및 잠재적으로 에어백 시스템이 작동불량 될 가능성 ",231,크라이슬러,2015-05-15
"에프씨에이코리아(구, 크라이슬러코리아)","짚체로키, KL",2014-09-03,2014-10-30,승객 구속 장치(ORC) 소프트웨어오류(오프로드 운행 조건 시 차량각도가 ORC모듈에 설정되어 있는 전복단계의 한계치로 인식)로 인해 옆면 및 전면 에어백이 특정운행 조건에서 사전인지 없이 전개될 가능성 ,675,크라이슬러,2015-06-25
"에프씨에이코리아(구, 크라이슬러코리아)",듀랑고,2004-04-28,2006-12-07,승용자동차의 경우 충돌로 인한 에어백(일본 타카타社 부품) 전개시 과도한 폭발압력으로 발생한 내부 부품의 금속 파편이 운전자 등에게 상해를 입힐 가능성,55,크라이슬러,2015-07-21
"에프씨에이코리아(구, 크라이슬러코리아)",300C,2004-04-21,2008-06-19,승용자동차의 경우 충돌로 인한 에어백(일본 타카타社 부품) 전개시 과도한 폭발압력으로 발생한 내부 부품의 금속 파편이 운전자 등에게 상해를 입힐 가능성,5672,크라이슬러,2015-07-21
"에프씨에이코리아(구, 크라이슬러코리아)",다코타,2004-10-15,2011-05-24,화물자동차의 경우 충돌로 인한 에어백(일본 타카타社 부품) 전개시 과도한 폭발압력으로 발생한 내부 부품의 금속 파편이 운전자 등에게 상해를 입힐 가능성,595,크라이슬러,2015-07-21
"에프씨에이코리아(구, 크라이슬러코리아)"," 짚그랜드체로키, WK",2011-05-13,2012-12-19,차량 전원 통합 모듈내부에 장착된 연료 펌프 릴레이가 어떤 경고 메시지 없이 작동이 안될 가능성이 있음,2126,크라이슬러,2015-09-18
"에프씨에이코리아(구, 크라이슬러코리아)","짚그랜드체로키, WK/WH",2007-08-23,2008-04-25,엔진 시동스위치 내부 회로 결함으로 주행 중 시동이 꺼질 가능성,95,크라이슬러,2015-10-29
"에프씨에이코리아(구, 크라이슬러코리아)",300C,2007-09-24,2008-05-08,엔진 시동스위치 내부 회로 결함으로 주행 중 시동이 꺼질 가능성,1513,크라이슬러,2015-10-29
"에프씨에이코리아(구, 크라이슬러코리아)",짚커맨더,2007-09-28,2008-05-09,엔진 시동스위치 내부 회로 결함으로 주행 중 시동이 꺼질 가능성,54,크라이슬러,2015-10-29
"에프씨에이코리아(구, 크라이슬러코리아)",그랜드보이저,2007-12-10,2010-05-06,엔진 시동스위치 내부 회로 결함으로 주행 중 시동이 꺼질 가능성,146,크라이슬러,2015-10-29
"에프씨에이코리아(구, 크라이슬러코리아)","짚그랜드체로키, WK/WH",2004-07-14,2007-08-29,엔진 시동스위치 내부 회로 결함으로 주행 중 시동이 꺼질 가능성,1156,크라이슬러,2015-10-29
"에프씨에이코리아(구, 크라이슬러코리아)","짚커맨더, XH",2006-01-26,2007-03-16,엔진 시동스위치 내부 회로 결함으로 주행 중 시동이 꺼질 가능성,214,크라이슬러,2015-10-29
"에프씨에이코리아(구, 크라이슬러코리아)","짚체로키, KL",2014-10-12,2015-06-12,에어컨 호스와 엔진 배기장치의 고온 부위가 접촉되도록 잘못 조립되어 에어컨 호스가 손상되거나 화재가 발생할 가능성,164,크라이슬러,2015-12-01
